DDCTransactionIdFA7C3D154588592A115B5584E1358E70_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1471_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.41, Duration=0.612572, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdE90CC9F34D76A06895BA9180ED1EBED6_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__9908241BD20DF14A6AE05F8E6CA9BBBE24B07AB6, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=1186, Duration=0.036936, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.41, Duration=28.511431, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__02B54665C520D91F5F701748C4780F8A6005FD33, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=8452, Duration=0.042420, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdE90CC9F34D76A06895BA9180ED1EBED6_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BA34306FE8A99B5C640F036EF7E052585535A66C, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=3559, Duration=0.039499, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF39_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.41, Duration=4.296772, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__7716384CA42A2482D772493A287E45E486704A3F, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=65797, Duration=0.113737, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__C4042932833ADBF653BE0F3E3601E57EBDF5D841, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=22665, Duration=0.062902, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEFD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.41, Duration=3.552910, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=65797, Duration=0.074971, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
